TC_ID,API,FR,Category,Technique,Title,Method,Endpoint,Preconditions,Request_Headers,Request_Body,Expected_Status,Expected_Assertions,Oracle,SEC_Ref,Priority,Source,Audit_Label,Audit_Note,Tag,Bug_Ref,Why_AI_Missed
TC-A1-DOM-001,API-1,FR-03,DOM,EP,POST /api/forgot-password | email = api.victim.23127060@test.local (email ton tai),POST,/api/forgot-password,User api.victim.23127060@test.local da ton tai,-,"{""email"":""api.victim.23127060@test.local""}",200,body co message; body KHONG chua resetToken,SPEC,-,P0,AI,VALID,"Buoc, du lieu va ky vong deu doi chieu duoc voi SRS; assertion da cu the; chay doc lap duoc sau khi _setup chay xong.",@bug,A-01,
TC-A1-DOM-002,API-1,FR-03,DOM,EP,POST /api/forgot-password | email = khongtontai.23127060@test.local (email khong ton tai - khong duoc lo user enumeration),POST,/api/forgot-password,User api.victim.23127060@test.local da ton tai,-,"{""email"":""khongtontai.23127060@test.local""}",200,tra ve thong diep chung chung giong truong hop ton tai,SPEC(suy dien),-,P0,AI,INCOMPLETE,R6 - Ky vong 'email khong ton tai van tra 200 (chong user enumeration)' KHONG duoc SRS phat bieu truc tiep; day la suy dien tu thong le. DA SUA: ghi ro Oracle = SPEC(suy dien) de nguoi cham phan biet duoc voi cac ky vong trich thang tu dac ta.,@bug,A-03,
TC-A1-DOM-003,API-1,FR-03,DOM,EP,POST /api/forgot-password | email =  (email rong),POST,/api/forgot-password,User api.victim.23127060@test.local da ton tai,-,"{""email"":""""}",400,body la JSON; co truong error,SPEC,-,P2,AI,VALID,"Buoc, du lieu va ky vong deu doi chieu duoc voi SRS; assertion da cu the; chay doc lap duoc sau khi _setup chay xong.",@contract,-,
TC-A1-DOM-004,API-1,FR-03,DOM,EP,POST /api/forgot-password | email = <thieu key> (thieu key email),POST,/api/forgot-password,User api.victim.23127060@test.local da ton tai,-,{},400,body la JSON; co truong error,SPEC,-,P2,AI,VALID,"Buoc, du lieu va ky vong deu doi chieu duoc voi SRS; assertion da cu the; chay doc lap duoc sau khi _setup chay xong.",@contract,-,
TC-A1-DOM-005,API-1,FR-03,DOM,EP,POST /api/forgot-password | email = - (email null),POST,/api/forgot-password,User api.victim.23127060@test.local da ton tai,-,"{""email"":null}",400,body la JSON; co truong error,SPEC,-,P2,AI,VALID,"Buoc, du lieu va ky vong deu doi chieu duoc voi SRS; assertion da cu the; chay doc lap duoc sau khi _setup chay xong.",@contract,-,
TC-A1-DOM-006,API-1,FR-03,DOM,EP,POST /api/forgot-password | email = 12345 (email sai kieu (number)),POST,/api/forgot-password,User api.victim.23127060@test.local da ton tai,-,"{""email"":12345}",400,body la JSON; co truong error,SPEC,-,P2,AI,VALID,"Buoc, du lieu va ky vong deu doi chieu duoc voi SRS; assertion da cu the; chay doc lap duoc sau khi _setup chay xong.",@contract,-,
TC-A1-DOM-007,API-1,FR-03,DOM,EP,POST /api/forgot-password | email = abc@@test (email sai dinh dang),POST,/api/forgot-password,User api.victim.23127060@test.local da ton tai,-,"{""email"":""abc@@test""}",400,body la JSON; co truong error,SPEC,-,P2,AI,VALID,"Buoc, du lieu va ky vong deu doi chieu duoc voi SRS; assertion da cu the; chay doc lap duoc sau khi _setup chay xong.",@contract,-,
TC-A1-DOM-008,API-1,FR-03,DOM,BVA,POST /api/forgot-password | email = aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa (BVA - email vuot 254 ky tu),POST,/api/forgot-password,User api.victim.23127060@test.local da ton tai,-,"{""email"":""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa@test.local""}",400,body la JSON; co truong error,SPEC,-,P2,AI,VALID,"Buoc, du lieu va ky vong deu doi chieu duoc voi SRS; assertion da cu the; chay doc lap duoc sau khi _setup chay xong.",@contract,-,
TC-A1-DOM-009,API-1,FR-03,DOM,EP,POST /api/forgot-password | email = API.VICTIM.23127060@TEST.LOCAL (email khac hoa thuong - phai coi la cung 1 user),POST,/api/forgot-password,User api.victim.23127060@test.local da ton tai,-,"{""email"":""API.VICTIM.23127060@TEST.LOCAL""}",200,body la JSON; khop schema thanh cong,SPEC(suy dien),-,P1,AI,INCOMPLETE,R6 - Ky vong 'email khong phan biet hoa thuong' KHONG duoc SRS phat bieu truc tiep; day la suy dien tu thong le. DA SUA: ghi ro Oracle = SPEC(suy dien) de nguoi cham phan biet duoc voi cac ky vong trich thang tu dac ta.,@contract,-,
TC-A1-DOM-010,API-1,FR-03,DOM,EP,POST /api/forgot-password | email =   api.victim.23127060@test.local   (email co khoang trang thua - phai trim),POST,/api/forgot-password,User api.victim.23127060@test.local da ton tai,-,"{""email"":""  api.victim.23127060@test.local  ""}",200,body la JSON; khop schema thanh cong,SPEC(suy dien),-,P1,AI,INCOMPLETE,R6 - Ky vong 'email tu cat khoang trang dau-cuoi' KHONG duoc SRS phat bieu truc tiep; day la suy dien tu thong le. DA SUA: ghi ro Oracle = SPEC(suy dien) de nguoi cham phan biet duoc voi cac ky vong trich thang tu dac ta.,@contract,-,
