TC_ID,API,FR,Category,Technique,Title,Method,Endpoint,Preconditions,Request_Headers,Request_Body,Expected_Status,Expected_Assertions,Oracle,SEC_Ref,Priority,Source,Audit_Label,Audit_Note,Tag,Bug_Ref,Why_AI_Missed
TC-C3-DOM-001,API-3,FR-15,DOM,EP,POST /api/products | name = SP Test 23127060 (ten hop le),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""SP Test 23127060"",""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",201,body co id; GET lai san pham thay dung ten,SPEC,-,P0,AI,,,@bug,C-12,
TC-C3-DOM-002,API-3,FR-15,DOM,EP,POST /api/products | name =  (ten rong),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":"""",""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",400,body la JSON; co truong error,SPEC,-,P2,AI,,,@bug,C-06,
TC-C3-DOM-003,API-3,FR-15,DOM,EP,POST /api/products | name = - (ten null),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":null,""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",400,body la JSON; co truong error,SPEC,-,P0,AI,,,@bug,C-06,
TC-C3-DOM-004,API-3,FR-15,DOM,EP,POST /api/products | name = <thieu key> (thieu key name),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",400,body la JSON; co truong error,SPEC,-,P2,AI,,,@bug,C-06,
TC-C3-DOM-005,API-3,FR-15,DOM,EP,POST /api/products | name = 12345 (ten sai kieu (number)),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":12345,""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",400,body la JSON; co truong error,SPEC,-,P2,AI,,,@bug,C-06,
TC-C3-DOM-006,API-3,FR-15,DOM,BVA,POST /api/products | name = A (BVA - 1 ky tu (duoi bien toi thieu)),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""A"",""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",400,body la JSON; co truong error,SPEC,-,P2,AI,,,@contract,-,
TC-C3-DOM-007,API-3,FR-15,DOM,BVA,POST /api/products | name = A123456789A123456789A123456789A123456789 (BVA - dung 255 ky tu),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A1234"",""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",201,body la JSON; khop schema thanh cong,SPEC,-,P1,AI,,,@contract,-,
TC-C3-DOM-008,API-3,FR-15,DOM,BVA,POST /api/products | name = A123456789A123456789A123456789A123456789 (BVA - 256 ky tu (vuot bien)),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A12345"",""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",400,body la JSON; co truong error,SPEC,-,P2,AI,,,@contract,-,
TC-C3-DOM-009,API-3,FR-15,DOM,EP,POST /api/products | name = <script>alert('23127060')</script> (stored XSS trong ten san pham),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""<script>alert('23127060')</script>"",""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",400,body la JSON; co truong error,SPEC,SEC-06,P0,AI,,,@bug,C-11,
TC-C3-DOM-010,API-3,FR-15,DOM,EP,POST /api/products | name = San pham tieng Viet co dau 23127060 (ten co ky tu Unicode),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""San pham tieng Viet co dau 23127060"",""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",201,body la JSON; khop schema thanh cong,SPEC,-,P1,AI,,,@contract,-,
TC-C3-DOM-011,API-3,FR-15,DOM,EP,POST /api/products | price = 150000 (gia hop le),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""SP Test 23127060"",""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",201,body la JSON; khop schema thanh cong,SPEC,-,P1,AI,,,@contract,-,
TC-C3-DOM-012,API-3,FR-15,DOM,EP,POST /api/products | price = -1000 (gia am),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""SP Test 23127060"",""price"":-1000,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",400,body la JSON; co truong error,SPEC,-,P0,AI,,,@bug,C-06,
TC-C3-DOM-013,API-3,FR-15,DOM,BVA,POST /api/products | price = 0 (BVA - gia bang 0),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""SP Test 23127060"",""price"":0,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",400,body la JSON; co truong error,SPEC,-,P2,AI,,,@bug,C-06,
TC-C3-DOM-014,API-3,FR-15,DOM,BVA,POST /api/products | price = 1 (BVA - gia 1 (bien duoi hop le)),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""SP Test 23127060"",""price"":1,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",201,body la JSON; khop schema thanh cong,SPEC,-,P1,AI,,,@contract,-,
TC-C3-DOM-015,API-3,FR-15,DOM,EP,POST /api/products | price = khong-phai-so (gia sai kieu (string)),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""SP Test 23127060"",""price"":""khong-phai-so"",""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",400,body la JSON; co truong error,SPEC,-,P0,AI,,,@bug,C-06,
TC-C3-DOM-016,API-3,FR-15,DOM,EP,POST /api/products | price = - (gia null),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""SP Test 23127060"",""price"":null,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",400,body la JSON; co truong error,SPEC,-,P2,AI,,,@bug,C-06,
TC-C3-DOM-017,API-3,FR-15,DOM,EP,POST /api/products | price = <thieu key> (thieu key price),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""SP Test 23127060"",""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",400,body la JSON; co truong error,SPEC,-,P2,AI,,,@bug,C-06,
TC-C3-DOM-018,API-3,FR-15,DOM,BVA,POST /api/products | price = 999999999999999 (BVA - gia vuot gioi han),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""SP Test 23127060"",""price"":999999999999999,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",400,body la JSON; co truong error,SPEC,-,P2,AI,,,@contract,-,
TC-C3-DOM-019,API-3,FR-15,DOM,EP,POST /api/products | price = 150000.55 (gia co phan thap phan),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""SP Test 23127060"",""price"":150000.55,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",201,body la JSON; khop schema thanh cong,SPEC,-,P1,AI,,,@contract,-,
TC-C3-DOM-021,API-3,FR-15,DOM,EP,POST /api/products | category_id = 999999 (danh muc khong ton tai - khoa ngoai khong duoc kiem tra),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""SP Test 23127060"",""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":999999}",400,body la JSON; co truong error,SPEC,-,P0,AI,,,@bug,C-10,
TC-C3-DOM-022,API-3,FR-15,DOM,EP,POST /api/products | category_id = -1 (category_id am),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""SP Test 23127060"",""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":-1}",400,body la JSON; co truong error,SPEC,-,P2,AI,,,@bug,C-10,
TC-C3-DOM-023,API-3,FR-15,DOM,EP,POST /api/products | category_id = abc (category_id sai kieu),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""SP Test 23127060"",""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":""abc""}",400,body la JSON; co truong error,SPEC,-,P2,AI,,,@contract,-,
TC-C3-DOM-024,API-3,FR-15,DOM,EP,POST /api/products | category_id = - (category_id null (khong bat buoc)),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""SP Test 23127060"",""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":null}",201,body la JSON; khop schema thanh cong,SPEC,-,P1,AI,,,@contract,-,
TC-C3-DOM-026,API-3,FR-15,DOM,EP,POST /api/products | imageUrl = javascript:alert('23127060') (URL scheme nguy hiem),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""SP Test 23127060"",""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""javascript:alert('23127060')"",""category_id"":1}",400,body la JSON; co truong error,SPEC,SEC-06,P0,AI,,,@contract,-,
TC-C3-DOM-027,API-3,FR-15,DOM,EP,POST /api/products | imageUrl = ../../etc/passwd (path traversal trong imageUrl),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""SP Test 23127060"",""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""../../etc/passwd"",""category_id"":1}",400,body la JSON; co truong error,SPEC,SEC-06,P2,AI,,,@contract,-,
TC-C3-DOM-028,API-3,FR-15,DOM,EP,POST /api/products | imageUrl = khong-phai-url (chuoi khong phai URL),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""SP Test 23127060"",""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""khong-phai-url"",""category_id"":1}",400,body la JSON; co truong error,SPEC,-,P2,AI,,,@contract,-,
TC-C3-DOM-029,API-3,FR-15,DOM,EP,PUT /api/products/:id | id = 1 (id ton tai),PUT,/api/products/1,San pham id=1 ton tai,Authorization: Bearer {{token_admin}},"{""name"":""SP Da Sua 23127060"",""price"":180000,""description"":""Da cap nhat"",""imageUrl"":""https://example.com/b.png"",""category_id"":1}",200,body la JSON; khop schema thanh cong,SPEC,-,P1,AI,,,@contract,-,
