Test Case ID,API,FR,Nhom,Tieu de test case,Ky thuat,Tham so,Phan vung / Gia tri bien,SEC lien quan,Method,Endpoint,Du lieu gui len,Ket qua ky vong (theo dac ta),Nguon (AI/HUMAN),Nhan audit,Ly do audit / hieu chinh,Ket qua chay that (Newman),PASS/FAIL,Ma loi
TC-A1-001,API-1,FR-04,01 - Domain Partition: name,name hop le -> 200 va doc lai dung gia tri,domain-partition,name,Hop le: chuoi thuong,,PUT,/api/users/me,"{""name"": ""Nguyen Van A"", ""shipping_address"": ""227 Nguyen Van Cu, Q5"", ""phone"": ""0912345678""}",200 OK; GET /api/users/me sau do tra dung ten vua dat.,AI,VALID,Happy path theo api_specification.md muc 2.2.,5 assertion deu dat,PASS,
TC-A1-002,API-1,FR-04,01 - Domain Partition: name,"name rong """" -> 400 (ho ten la truong bat buoc)",domain-partition,name,Chuoi rong,,PUT,/api/users/me,"{""name"": """", ""shipping_address"": ""227 NVC"", ""phone"": ""0912345678""}",400 Bad Request.,AI,VALID,FR-04 liet ke Ho Ten la mot trong cac truong nguoi dung cap nhat; mot ho so khong the co ten rong.,expected response to have status code 400 but got 200,FAIL,BUG-A1-04
TC-A1-003,API-1,FR-04,01 - Domain Partition: name,name = null -> 400 (khong duoc ghi NULL de mat ten),domain-partition,name,Gia tri null,,PUT,/api/users/me,"{""name"": null, ""shipping_address"": ""227 NVC"", ""phone"": ""0912345678""}",400 Bad Request; ten cu phai duoc giu nguyen.,AI,VALID,Phan vung null tach biet chuoi rong vi duong dan ghi DB khac nhau.,expected response to have status code 400 but got 200,FAIL,BUG-A1-04
TC-A1-004,API-1,FR-04,01 - Domain Partition: name,name chi gom khoang trang -> 400,domain-partition,name,Chuoi trang (whitespace-only),,PUT,/api/users/me,"{""name"": ""     "", ""shipping_address"": ""227 NVC"", ""phone"": ""0912345678""}",400 Bad Request.,AI,VALID,Bien tinh te giua 'co gia tri' va 'rong sau khi trim'.,expected response to have status code 400 but got 200,FAIL,BUG-A1-04
TC-A1-005,API-1,FR-04,01 - Domain Partition: name,name dai 500 ky tu -> khong duoc 500,domain-partition,name,Vuot bien tren do dai,,PUT,/api/users/me,"{""name"": ""AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA...",Khong duoc 5xx. SRS khong quy dinh gioi han cu the.,AI,INCOMPLETE,"AI ky vong cung 400. SV sua: SRS khong dat gioi han do dai cho ho ten (chi FR-15 dat 255 cho ten san pham), nen ky vong dung la 'phai xu ly on dinh': 200 hoac 400 deu chap nhan, nhung khong duoc 5xx.",4 assertion deu dat,PASS,
TC-A1-006,API-1,FR-04,01 - Domain Partition: name,name sai kieu (so nguyen) -> 400,domain-partition,name,Sai kieu: number,,PUT,/api/users/me,"{""name"": 23127195, ""shipping_address"": ""227 NVC"", ""phone"": ""0912345678""}",400 Bad Request.,AI,VALID,Hop dong API quy dinh name la chuoi.,expected response to have status code 400 but got 200,FAIL,BUG-A1-04
TC-A1-007,API-1,FR-04,01 - Domain Partition: name,name tieng Viet co dau -> luu va doc lai dung (UTF-8),domain-partition,name,Hop le: Unicode tieng Viet,,PUT,/api/users/me,"{""name"": ""Nguyễn Thị Hồng Đào"", ""shipping_address"": ""227 Nguyễn Văn Cừ"", ""phone"": ""0912345678""}",200 OK; doc lai phai dung nguyen van ke ca dau.,AI,VALID,SUT phuc vu nguoi dung Viet Nam; sai encoding la loi thuong gap.,4 assertion deu dat,PASS,
TC-A1-008,API-1,FR-04,01 - Domain Partition: name,"name chua payload XSS -> luu nguyen van, khong 5xx",security,name,Payload HTML/JS,SEC-04,PUT,/api/users/me,"{""name"": ""<script>alert('23127195')</script>"", ""shipping_address"": ""227 NVC"", ""phone"": ""0912345678""}",200 OK; du lieu doc lai giong het du lieu gui len (khong bi bien dang cung khong duoc thuc thi).,HUMAN,VALID,"Case do SV tu them. AI xep XSS vao nhom 'tan cong' va ky vong API tu choi. Thuc te SEC-04 quy dinh trach nhiem escape thuoc TANG HIEN THI, con API phai luu va tra ve NGUYEN VAN. Neu API tu y loc bo the HTML thi ten hop le nhu 'Cong ty A<B' se bi bien dang. Ky vong dung: khong 5xx va doc lai nguyen van.",4 assertion deu dat,PASS,
TC-A1-009,API-1,FR-04,02 - Domain Partition: phone,phone 10 chu so bat dau bang 0 (bien duoi hop le) -> 200,domain-partition,phone,Hop le tai bien duoi: 10 chu so,,PUT,/api/users/me,"{""name"": ""Phone Tester"", ""shipping_address"": ""227 NVC"", ""phone"": ""0912345678""}",200 OK.,AI,VALID,"FR-04: 'bat dau bang so 0, tu 10-11 chu so'. Day la bien duoi.",3 assertion deu dat,PASS,
TC-A1-010,API-1,FR-04,02 - Domain Partition: phone,phone 11 chu so bat dau bang 0 (bien tren hop le) -> 200,domain-partition,phone,Hop le tai bien tren: 11 chu so,,PUT,/api/users/me,"{""name"": ""Phone Tester"", ""shipping_address"": ""227 NVC"", ""phone"": ""09123456789""}",200 OK.,AI,VALID,Bien tren cua khoang 10-11.,3 assertion deu dat,PASS,
TC-A1-011,API-1,FR-04,02 - Domain Partition: phone,phone 9 chu so (duoi bien) -> 400,domain-partition,phone,Duoi bien: 9 chu so,,PUT,/api/users/me,"{""name"": ""Phone Tester"", ""shipping_address"": ""227 NVC"", ""phone"": ""091234567""}",400 Bad Request.,AI,VALID,BVA: min - 1.,expected response to have status code 400 but got 200,FAIL,BUG-A1-03
TC-A1-012,API-1,FR-04,02 - Domain Partition: phone,phone 12 chu so (tren bien) -> 400,domain-partition,phone,Tren bien: 12 chu so,,PUT,/api/users/me,"{""name"": ""Phone Tester"", ""shipping_address"": ""227 NVC"", ""phone"": ""091234567890""}",400 Bad Request.,AI,VALID,BVA: max + 1.,expected response to have status code 400 but got 200,FAIL,BUG-A1-03
TC-A1-013,API-1,FR-04,02 - Domain Partition: phone,phone du 10 so nhung KHONG bat dau bang 0 -> 400,domain-partition,phone,Sai tien to: khong bat dau bang 0,,PUT,/api/users/me,"{""name"": ""Phone Tester"", ""shipping_address"": ""227 NVC"", ""phone"": ""9912345678""}",400 Bad Request.,AI,VALID,Tach bach dieu kien 'do dai' va dieu kien 'tien to' - hai dieu kien doc lap trong FR-04.,expected response to have status code 400 but got 200,FAIL,BUG-A1-03
TC-A1-014,API-1,FR-04,02 - Domain Partition: phone,phone chua chu cai -> 400,domain-partition,phone,Sai tap ky tu: co chu cai,,PUT,/api/users/me,"{""name"": ""Phone Tester"", ""shipping_address"": ""227 NVC"", ""phone"": ""0abcdefghi""}",400 Bad Request.,AI,VALID,FR-04 quy dinh so dien thoai gom CHU SO.,expected response to have status code 400 but got 200,FAIL,BUG-A1-03
TC-A1-015,API-1,FR-04,02 - Domain Partition: phone,"phone co dau gach ngang ""0912-345-678"" -> 400",domain-partition,phone,Sai tap ky tu: co ky tu phan cach,,PUT,/api/users/me,"{""name"": ""Phone Tester"", ""shipping_address"": ""227 NVC"", ""phone"": ""0912-345-678""}",400 Bad Request.,AI,VALID,Dinh dang thuong gap nguoi dung go vao nhung khong thoa FR-04.,expected response to have status code 400 but got 200,FAIL,BUG-A1-03
TC-A1-016,API-1,FR-04,02 - Domain Partition: phone,"phone dinh dang quoc te ""+84912345678"" -> 400",domain-partition,phone,Dinh dang quoc te E.164,,PUT,/api/users/me,"{""name"": ""Phone Tester"", ""shipping_address"": ""227 NVC"", ""phone"": ""+84912345678""}",400 Bad Request theo dung chu cua FR-04 (chi chap nhan tien to 0).,HUMAN,VALID,"Case do SV tu them. AI chi sinh cac bien the 'ro rang sai' (chu cai, qua ngan). Dinh dang +84 la dinh dang HOP LE ve mat nghiep vu nhung KHONG thoa dac ta FR-04 ('bat dau bang so 0') - day la vung xam de lo, va la lua chon thiet ke can duoc ghi nhan tuong minh.",expected response to have status code 400 but got 200,FAIL,BUG-A1-03
TC-A1-017,API-1,FR-04,02 - Domain Partition: phone,"phone rong """" -> 400",domain-partition,phone,Chuoi rong,,PUT,/api/users/me,"{""name"": ""Phone Tester"", ""shipping_address"": ""227 NVC"", ""phone"": """"}",400 Bad Request.,AI,VALID,Chuoi rong khong thoa rang buoc 10-11 chu so.,expected response to have status code 400 but got 200,FAIL,BUG-A1-03
TC-A1-018,API-1,FR-04,02 - Domain Partition: phone,phone sai kieu (number) -> 400,domain-partition,phone,Sai kieu: number,,PUT,/api/users/me,"{""name"": ""Phone Tester"", ""shipping_address"": ""227 NVC"", ""phone"": 912345678}",400 Bad Request.,AI,VALID,"Quan trong: neu nhan kieu so thi so 0 dau bi mat (0912345678 -> 912345678), lam hong du lieu am tham.",expected response to have status code 400 but got 200,FAIL,BUG-A1-03
TC-A1-019,API-1,FR-04,02 - Domain Partition: phone,"phone co khoang trang bao quanh -> 400 hoac trim, khong 5xx",domain-partition,phone,Hop le nhung co khoang trang bao quanh,,PUT,/api/users/me,"{""name"": ""Phone Tester"", ""shipping_address"": ""227 NVC"", ""phone"": ""  0912345678  ""}",Khong 5xx. Neu 200 thi gia tri luu phai la '0912345678' (da trim).,AI,INCOMPLETE,"AI ky vong cung 400. SV sua thanh statusIn [200,400] vi SRS khong quy dinh co trim hay khong; neu chap nhan (200) thi gia tri luu phai la chuoi da trim.",expected '  0912345678  ' to deeply equal '0912345678',FAIL,BUG-A1-03
TC-A1-020,API-1,FR-04,02 - Domain Partition: phone,phone = null -> 400,domain-partition,phone,Gia tri null,,PUT,/api/users/me,"{""name"": ""Phone Tester"", ""shipping_address"": ""227 NVC"", ""phone"": null}",400 Bad Request.,AI,VALID,Phan vung null.,expected response to have status code 400 but got 200,FAIL,BUG-A1-03
TC-A1-021,API-1,FR-04,03 - Domain Partition: shipping_address,shipping_address hop le -> 200 va doc lai dung,domain-partition,shipping_address,Hop le,,PUT,/api/users/me,"{""name"": ""Addr Tester"", ""shipping_address"": ""123 Le Loi, Q1, TP.HCM"", ""phone"": ""0912345678""}",200 OK; doc lai dung dia chi.,AI,VALID,Happy path cua tham so thu 3.,4 assertion deu dat,PASS,
TC-A1-022,API-1,FR-04,03 - Domain Partition: shipping_address,shipping_address rong -> chap nhan (truong khong bat buoc),domain-partition,shipping_address,Chuoi rong (khong bat buoc),,PUT,/api/users/me,"{""name"": ""Addr Tester"", ""shipping_address"": """", ""phone"": ""0912345678""}",200 OK va doc lai la chuoi rong.,AI,VALID,FR-04 goi day la 'dia chi giao hang MAC DINH' - nguoi dung co quyen de trong. Khac han voi name va phone.,3 assertion deu dat,PASS,
TC-A1-023,API-1,FR-04,03 - Domain Partition: shipping_address,shipping_address dai 2000 ky tu -> khong 5xx,domain-partition,shipping_address,Vuot bien tren do dai,,PUT,/api/users/me,"{""name"": ""Addr Tester"", ""phone"": ""0912345678"", ""shipping_address"": ""{{$randomStreetAddress}} {{$randomStreetAddress}} {{$randomStreetAddress}} {{$randomStreetAddress}} {{$randomStreetAddress}} {{$randomStreetAddress}} {{$randomStreetAddress}} {{$randomStreetAddress}}""}",Khong 5xx.,AI,VALID,Kiem tra do ben truoc payload lon.,4 assertion deu dat,PASS,
TC-A1-024,API-1,FR-04,03 - Domain Partition: shipping_address,shipping_address chua payload SQL injection -> khong ro ri loi SQL,security,shipping_address,Payload SQL injection,SEC-05,PUT,/api/users/me,"{""name"": ""SQLi Tester"", ""shipping_address"": ""1 Le Loi', role='admin' WHERE id=1 --"", ""phone"": ""0912345678""}","Khong 5xx, khong ro ri thong bao cua tang SQLite; du lieu luu nguyen van.",AI,VALID,SEC-05 yeu cau parameterized query. Neu SUT noi chuoi thi payload nay se gay loi cu phap SQL.,5 assertion deu dat,PASS,
