code,total_amount,expect_status,expect_discount,expect_final,condition,note
SAVE10,500000,200,50000,450000,"C1..C5 deu dung","percent 10% tren 500k"
SAVE10,1000000,200,100000,900000,"C1..C5 deu dung","percent 10% tren 1tr"
SAVE10,300000,200,30000,270000,"C3 tai bien =","don bang dung nguong 300k"
SAVE10,299999,400,,,"C3 sai","duoi nguong 1 dong"
SAVE10,300001,200,30000,270000,"C3 tren bien","tren nguong 1 dong"
BIGBUY,600000,200,50000,550000,"C1..C5 deu dung","fixed 50k"
BIGBUY,500000,200,50000,450000,"C3 tai bien =","don bang dung nguong 500k"
BIGBUY,499999,400,,,"C3 sai","duoi nguong 1 dong"
VIP100,400000,200,100000,300000,"C1..C5 deu dung","fixed 100k"
VIP100,300000,200,100000,200000,"C3 tai bien =","don bang dung nguong 300k"
EXPIRED,500000,400,,,"C2 sai","ma da het han 2020-01-01"
EXPIRED,50000,400,,,"C2 sai va C3 sai","het han + duoi nguong"
KHONGTONTAI,500000,404,,,"C1 sai","ma khong ton tai"
save10,500000,200,50000,450000,"C1 - hoa/thuong","ma viet thuong"
