TC_ID,API,FR,Category,Technique,Title,Method,Endpoint,Preconditions,Request_Headers,Request_Body,Expected_Status,Expected_Assertions,Oracle,SEC_Ref,Priority,Source,Audit_Label,Audit_Note,Tag,Bug_Ref,Why_AI_Missed
TC-C3-DOM-001,API-3,FR-15,DOM,EP,POST /api/products | name = SP Test 23127060 (ten hop le),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""SP Test 23127060"",""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",201,body co id; GET lai san pham thay dung ten,SPEC,-,P0,AI,VALID,"Buoc, du lieu va ky vong deu doi chieu duoc voi SRS; assertion da cu the; chay doc lap duoc sau khi _setup chay xong.",@bug,C-12,
TC-C3-DOM-002,API-3,FR-15,DOM,EP,POST /api/products | name =  (ten rong),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":"""",""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",400,body la JSON; co truong error; VA doc lai tai nguyen sau khi goi de xac nhan du lieu KHONG bi thay doi,SPEC,-,P2,AI,INCOMPLETE,R7 - Case tu choi mot thao tac GHI nhung chi kiem 'co truong error'. Thieu phan quan trong nhat: chung minh THAO TAC DA KHONG XAY RA. Mot API tra 400 roi van ghi vao CSDL se pass case nay. DA SUA: bo sung buoc doc lai tai nguyen sau khi goi.,@bug,C-06,
TC-C3-DOM-003,API-3,FR-15,DOM,EP,POST /api/products | name = - (ten null),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":null,""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",400,body la JSON; co truong error; VA doc lai tai nguyen sau khi goi de xac nhan du lieu KHONG bi thay doi,SPEC,-,P0,AI,INCOMPLETE,R7 - Case tu choi mot thao tac GHI nhung chi kiem 'co truong error'. Thieu phan quan trong nhat: chung minh THAO TAC DA KHONG XAY RA. Mot API tra 400 roi van ghi vao CSDL se pass case nay. DA SUA: bo sung buoc doc lai tai nguyen sau khi goi.,@bug,C-06,
TC-C3-DOM-004,API-3,FR-15,DOM,EP,POST /api/products | name = <thieu key> (thieu key name),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",400,body la JSON; co truong error; VA doc lai tai nguyen sau khi goi de xac nhan du lieu KHONG bi thay doi,SPEC,-,P2,AI,INCOMPLETE,R7 - Case tu choi mot thao tac GHI nhung chi kiem 'co truong error'. Thieu phan quan trong nhat: chung minh THAO TAC DA KHONG XAY RA. Mot API tra 400 roi van ghi vao CSDL se pass case nay. DA SUA: bo sung buoc doc lai tai nguyen sau khi goi.,@bug,C-06,
TC-C3-DOM-005,API-3,FR-15,DOM,EP,POST /api/products | name = 12345 (ten sai kieu (number)),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":12345,""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",400,body la JSON; co truong error; VA doc lai tai nguyen sau khi goi de xac nhan du lieu KHONG bi thay doi,SPEC,-,P2,AI,INCOMPLETE,R7 - Case tu choi mot thao tac GHI nhung chi kiem 'co truong error'. Thieu phan quan trong nhat: chung minh THAO TAC DA KHONG XAY RA. Mot API tra 400 roi van ghi vao CSDL se pass case nay. DA SUA: bo sung buoc doc lai tai nguyen sau khi goi.,@bug,C-06,
TC-C3-DOM-006,API-3,FR-15,DOM,BVA,POST /api/products | name = A (BVA - 1 ky tu (duoi bien toi thieu)),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""A"",""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",400,body la JSON; co truong error; VA doc lai tai nguyen sau khi goi de xac nhan du lieu KHONG bi thay doi,SPEC,-,P2,AI,INCOMPLETE,R7 - Case tu choi mot thao tac GHI nhung chi kiem 'co truong error'. Thieu phan quan trong nhat: chung minh THAO TAC DA KHONG XAY RA. Mot API tra 400 roi van ghi vao CSDL se pass case nay. DA SUA: bo sung buoc doc lai tai nguyen sau khi goi.,@contract,-,
TC-C3-DOM-007,API-3,FR-15,DOM,BVA,POST /api/products | name = A123456789A123456789A123456789A123456789 (BVA - dung 255 ky tu),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A1234"",""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",201,body la JSON; khop schema thanh cong; VA doc lai tai nguyen de xac nhan gia tri luu dung bang gia tri da gui,SPEC,-,P1,AI,INCOMPLETE,R8 - Case thanh cong nhung chi kiem 'khop schema'. Thieu khang dinh gia tri that su duoc luu dung. DA SUA: bo sung buoc doc lai tai nguyen va so khop gia tri vua gui.,@contract,-,
TC-C3-DOM-008,API-3,FR-15,DOM,BVA,POST /api/products | name = A123456789A123456789A123456789A123456789 (BVA - 256 ky tu (vuot bien)),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A123456789A12345"",""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",400,body la JSON; co truong error; VA doc lai tai nguyen sau khi goi de xac nhan du lieu KHONG bi thay doi,SPEC,-,P2,AI,INCOMPLETE,R7 - Case tu choi mot thao tac GHI nhung chi kiem 'co truong error'. Thieu phan quan trong nhat: chung minh THAO TAC DA KHONG XAY RA. Mot API tra 400 roi van ghi vao CSDL se pass case nay. DA SUA: bo sung buoc doc lai tai nguyen sau khi goi.,@contract,-,
TC-C3-DOM-009,API-3,FR-15,DOM,EP,POST /api/products | name = <script>alert('23127060')</script> (stored XSS trong ten san pham),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""<script>alert('23127060')</script>"",""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",400,body la JSON; co truong error,SPEC,SEC-04,P0,AI,INVALID,R3 - Gan sai ma SEC (SEC-06 -> SEC-04). Stored XSS qua ten san pham -> SEC-04.,@bug,C-11,
TC-C3-DOM-010,API-3,FR-15,DOM,EP,POST /api/products | name = San pham tieng Viet co dau 23127060 (ten co ky tu Unicode),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""San pham tieng Viet co dau 23127060"",""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",201,body la JSON; khop schema thanh cong; VA doc lai tai nguyen de xac nhan gia tri luu dung bang gia tri da gui,SPEC,-,P1,AI,INCOMPLETE,R8 - Case thanh cong nhung chi kiem 'khop schema'. Thieu khang dinh gia tri that su duoc luu dung. DA SUA: bo sung buoc doc lai tai nguyen va so khop gia tri vua gui.,@contract,-,
TC-C3-DOM-011,API-3,FR-15,DOM,EP,POST /api/products | price = 150000 (gia hop le),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""SP Test 23127060"",""price"":150000,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",201,body la JSON; khop schema thanh cong; VA doc lai tai nguyen de xac nhan gia tri luu dung bang gia tri da gui,SPEC,-,P1,AI,INCOMPLETE,R8 - Case thanh cong nhung chi kiem 'khop schema'. Thieu khang dinh gia tri that su duoc luu dung. DA SUA: bo sung buoc doc lai tai nguyen va so khop gia tri vua gui.,@contract,-,
TC-C3-DOM-012,API-3,FR-15,DOM,EP,POST /api/products | price = -1000 (gia am),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""SP Test 23127060"",""price"":-1000,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",400,body la JSON; co truong error; VA doc lai tai nguyen sau khi goi de xac nhan du lieu KHONG bi thay doi,SPEC,-,P0,AI,INCOMPLETE,R7 - Case tu choi mot thao tac GHI nhung chi kiem 'co truong error'. Thieu phan quan trong nhat: chung minh THAO TAC DA KHONG XAY RA. Mot API tra 400 roi van ghi vao CSDL se pass case nay. DA SUA: bo sung buoc doc lai tai nguyen sau khi goi.,@bug,C-06,
TC-C3-DOM-013,API-3,FR-15,DOM,BVA,POST /api/products | price = 0 (BVA - gia bang 0),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""SP Test 23127060"",""price"":0,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",400,body la JSON; co truong error; VA doc lai tai nguyen sau khi goi de xac nhan du lieu KHONG bi thay doi,SPEC,-,P2,AI,INCOMPLETE,R7 - Case tu choi mot thao tac GHI nhung chi kiem 'co truong error'. Thieu phan quan trong nhat: chung minh THAO TAC DA KHONG XAY RA. Mot API tra 400 roi van ghi vao CSDL se pass case nay. DA SUA: bo sung buoc doc lai tai nguyen sau khi goi.,@bug,C-06,
TC-C3-DOM-014,API-3,FR-15,DOM,BVA,POST /api/products | price = 1 (BVA - gia 1 (bien duoi hop le)),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""SP Test 23127060"",""price"":1,""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",201,body la JSON; khop schema thanh cong; VA doc lai tai nguyen de xac nhan gia tri luu dung bang gia tri da gui,SPEC,-,P1,AI,INCOMPLETE,R8 - Case thanh cong nhung chi kiem 'khop schema'. Thieu khang dinh gia tri that su duoc luu dung. DA SUA: bo sung buoc doc lai tai nguyen va so khop gia tri vua gui.,@contract,-,
TC-C3-DOM-015,API-3,FR-15,DOM,EP,POST /api/products | price = khong-phai-so (gia sai kieu (string)),POST,/api/products,"Da login bang tai khoan admin, co {{token_admin}}",Authorization: Bearer {{token_admin}},"{""name"":""SP Test 23127060"",""price"":""khong-phai-so"",""description"":""San pham kiem thu"",""imageUrl"":""https://example.com/a.png"",""category_id"":1}",400,body la JSON; co truong error; VA doc lai tai nguyen sau khi goi de xac nhan du lieu KHONG bi thay doi,SPEC,-,P0,AI,INCOMPLETE,R7 - Case tu choi mot thao tac GHI nhung chi kiem 'co truong error'. Thieu phan quan trong nhat: chung minh THAO TAC DA KHONG XAY RA. Mot API tra 400 roi van ghi vao CSDL se pass case nay. DA SUA: bo sung buoc doc lai tai nguyen sau khi goi.,@bug,C-06,
