TC_ID,API,FR,Category,Technique,Title,Method,Endpoint,Preconditions,Request_Headers,Request_Body,Expected_Status,Expected_Assertions,Oracle,SEC_Ref,Priority,Source,Audit_Label,Audit_Note,Tag,Bug_Ref,Why_AI_Missed
TC-A1-DOM-001,API-1,FR-03,DOM,EP,POST /api/forgot-password | email = api.victim.23127060@test.local (email tồn tại),POST,/api/forgot-password,User api.victim.23127060@test.local đã tồn tại,-,"{""email"":""api.victim.23127060@test.local""}",200,body có message; body KHÔNG chứa resetToken,SPEC,-,P0,AI,,,@bug,A-01,
TC-A1-DOM-002,API-1,FR-03,DOM,EP,POST /api/forgot-password | email = khongtontai.23127060@test.local (email không tồn tại - không được lộ user enumeration),POST,/api/forgot-password,User api.victim.23127060@test.local đã tồn tại,-,"{""email"":""khongtontai.23127060@test.local""}",200,trả về thông điệp chung chung giống trường hợp tồn tại,SPEC,-,P0,AI,,,@bug,A-03,
TC-A1-DOM-003,API-1,FR-03,DOM,EP,POST /api/forgot-password | email =  (email rỗng),POST,/api/forgot-password,User api.victim.23127060@test.local đã tồn tại,-,"{""email"":""""}",400,body là JSON; có trường error,SPEC,-,P2,AI,,,@contract,-,
TC-A1-DOM-004,API-1,FR-03,DOM,EP,POST /api/forgot-password | email = <thieu key> (thiếu key email),POST,/api/forgot-password,User api.victim.23127060@test.local đã tồn tại,-,{},400,body là JSON; có trường error,SPEC,-,P2,AI,,,@contract,-,
TC-A1-DOM-005,API-1,FR-03,DOM,EP,POST /api/forgot-password | email = - (email null),POST,/api/forgot-password,User api.victim.23127060@test.local đã tồn tại,-,"{""email"":null}",400,body là JSON; có trường error,SPEC,-,P2,AI,,,@contract,-,
TC-A1-DOM-006,API-1,FR-03,DOM,EP,POST /api/forgot-password | email = 12345 (email sai kiểu (number)),POST,/api/forgot-password,User api.victim.23127060@test.local đã tồn tại,-,"{""email"":12345}",400,body là JSON; có trường error,SPEC,-,P2,AI,,,@contract,-,
TC-A1-DOM-007,API-1,FR-03,DOM,EP,POST /api/forgot-password | email = abc@@test (email sai định dạng),POST,/api/forgot-password,User api.victim.23127060@test.local đã tồn tại,-,"{""email"":""abc@@test""}",400,body là JSON; có trường error,SPEC,-,P2,AI,,,@contract,-,
TC-A1-DOM-008,API-1,FR-03,DOM,BVA,POST /api/forgot-password | email = aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa (BVA - email vượt 254 ký tự),POST,/api/forgot-password,User api.victim.23127060@test.local đã tồn tại,-,"{""email"":""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa@test.local""}",400,body là JSON; có trường error,SPEC,-,P2,AI,,,@contract,-,
TC-A1-DOM-009,API-1,FR-03,DOM,EP,POST /api/forgot-password | email = API.VICTIM.23127060@TEST.LOCAL (email khác hoa thường - phải coi là cùng 1 user),POST,/api/forgot-password,User api.victim.23127060@test.local đã tồn tại,-,"{""email"":""API.VICTIM.23127060@TEST.LOCAL""}",200,body là JSON; khớp schema thành công,SPEC,-,P1,AI,,,@contract,-,
TC-A1-DOM-010,API-1,FR-03,DOM,EP,POST /api/forgot-password | email =   api.victim.23127060@test.local   (email có khoảng trắng thừa - phải trim),POST,/api/forgot-password,User api.victim.23127060@test.local đã tồn tại,-,"{""email"":""  api.victim.23127060@test.local  ""}",200,body là JSON; khớp schema thành công,SPEC,-,P1,AI,,,@contract,-,
